dataset,task,score
chembl204_ki,regression,0.7586909591171478
chembl214_ki,regression,0.6863522670596987
chembl218_ec50,regression,0.6910074894838304
chembl219_ki,regression,0.6470457571412477
chembl228_ki,regression,0.6431063594000416
chembl231_ki,regression,0.5004284668339043
chembl233_ki,regression,0.7166940362902379
chembl234_ki,regression,0.5445414905621512
chembl235_ec50,regression,0.6522716173693736
chembl236_ki,regression,0.6626384561677909
chembl237_ec50,regression,0.6394366122131248
chembl237_ki,regression,0.6637725469108751
chembl238_ki,regression,0.6250925498074167
chembl239_ec50,regression,0.6925993650168281
chembl244_ki,regression,0.6619420629127922
chembl262_ki,regression,0.8433865787886398
chembl264_ki,regression,0.5403614394125045
chembl287_ki,regression,0.5390027270555756
chembl1862_ki,regression,0.6189724911037017
chembl1871_ki,regression,0.8068801505582026
chembl2034_ki,regression,0.6354441399939248
chembl2047_ec50,regression,0.5037559536381506
chembl2147_ki,regression,0.5934333441897544
chembl2835_ki,regression,0.6033137484967118
chembl2971_ki,regression,0.6822435725965199
chembl3979_ec50,regression,0.51501963758881
chembl4005_ki,regression,0.6268729063113477
chembl4203_ki,regression,1.0886085395440852
chembl4616_ec50,regression,0.5850394170419797
chembl4792_ki,regression,0.6183844121342483
