dataset,task,score
chembl204_ki,regression,0.8024550761338577
chembl214_ki,regression,0.6975519642888267
chembl218_ec50,regression,0.6548789474265545
chembl219_ki,regression,0.6693268881514859
chembl228_ki,regression,0.6340666348532705
chembl231_ki,regression,0.5908800799809956
chembl233_ki,regression,0.7238033473323388
chembl234_ki,regression,0.5549082531962817
chembl235_ec50,regression,0.66050021571361
chembl236_ki,regression,0.6572037795844851
chembl237_ec50,regression,0.6720551278838308
chembl237_ki,regression,0.643390496528292
chembl238_ki,regression,0.5914645437241852
chembl239_ec50,regression,0.7117651739539349
chembl244_ki,regression,0.7153715140599385
chembl262_ki,regression,0.7572707149903783
chembl264_ki,regression,0.5724401869528556
chembl287_ki,regression,0.5267409850973985
chembl1862_ki,regression,0.6237582512014002
chembl1871_ki,regression,0.8381970279723612
chembl2034_ki,regression,0.593310857309699
chembl2047_ec50,regression,0.5014058659878993
chembl2147_ki,regression,0.5928760916198543
chembl2835_ki,regression,0.5451220765811045
chembl2971_ki,regression,0.585861801546671
chembl3979_ec50,regression,0.5246340791560294
chembl4005_ki,regression,0.6296512907659465
chembl4203_ki,regression,1.0373215322630278
chembl4616_ec50,regression,0.6054121089250901
chembl4792_ki,regression,0.6189969296769002
