dataset,task,score
chembl204_ki,regression,0.8546801374289851
chembl214_ki,regression,0.7147212995030913
chembl218_ec50,regression,0.644700206353025
chembl219_ki,regression,0.6690892959411051
chembl228_ki,regression,0.637562339464684
chembl231_ki,regression,0.6463977704107484
chembl233_ki,regression,0.7367288069621357
chembl234_ki,regression,0.5886787058646903
chembl235_ec50,regression,0.6574924109957981
chembl236_ki,regression,0.6870918736645226
chembl237_ec50,regression,0.7218826449288793
chembl237_ki,regression,0.6669187562994341
chembl238_ki,regression,0.6061351272704715
chembl239_ec50,regression,0.7121201548916783
chembl244_ki,regression,0.7323239131051253
chembl262_ki,regression,0.8061455734013867
chembl264_ki,regression,0.5892630369561084
chembl287_ki,regression,0.5388979115747977
chembl1862_ki,regression,0.645424882215973
chembl1871_ki,regression,0.7635219424969156
chembl2034_ki,regression,0.6123255252503589
chembl2047_ec50,regression,0.5415539355207057
chembl2147_ki,regression,0.5739237500870132
chembl2835_ki,regression,0.6815755942735263
chembl2971_ki,regression,0.6082951705313885
chembl3979_ec50,regression,0.5308336483129698
chembl4005_ki,regression,0.6325864298059853
chembl4203_ki,regression,1.112835395829447
chembl4616_ec50,regression,0.6114926337154979
chembl4792_ki,regression,0.5968748168261163
