dataset,task,score
chembl204_ki,regression,0.8048021897906197
chembl214_ki,regression,0.7334068555128674
chembl218_ec50,regression,0.6261266368404739
chembl219_ki,regression,0.6516976835388512
chembl228_ki,regression,0.6059414815358996
chembl231_ki,regression,0.5409130430761933
chembl233_ki,regression,0.7229363689748679
chembl234_ki,regression,0.5700484421662406
chembl235_ec50,regression,0.6731034790725392
chembl236_ki,regression,0.6759622330831749
chembl237_ec50,regression,0.6867448741851964
chembl237_ki,regression,0.6567425794998029
chembl238_ki,regression,0.5547580971656173
chembl239_ec50,regression,0.7438902336952521
chembl244_ki,regression,0.6991535818479822
chembl262_ki,regression,0.7504489969624573
chembl264_ki,regression,0.5788966146013951
chembl287_ki,regression,0.5277950579403154
chembl1862_ki,regression,0.6593474290908351
chembl1871_ki,regression,0.7924386091079512
chembl2034_ki,regression,0.6232778944192796
chembl2047_ec50,regression,0.5314053572883836
chembl2147_ki,regression,0.5856270828561732
chembl2835_ki,regression,0.6115472148750081
chembl2971_ki,regression,0.5745745961177724
chembl3979_ec50,regression,0.5518543424462764
chembl4005_ki,regression,0.6467446644282326
chembl4203_ki,regression,1.0270586745021506
chembl4616_ec50,regression,0.5991334406115146
chembl4792_ki,regression,0.616226859407433
