dataset,task,score
chembl204_ki,regression,0.7979177062477607
chembl214_ki,regression,0.7175299180770429
chembl218_ec50,regression,0.6178881953085852
chembl219_ki,regression,0.6574339555305801
chembl228_ki,regression,0.627153504826089
chembl231_ki,regression,0.5535912270392785
chembl233_ki,regression,0.7149599224852582
chembl234_ki,regression,0.5609306306549424
chembl235_ec50,regression,0.6804808873939728
chembl236_ki,regression,0.6631328744586394
chembl237_ec50,regression,0.6523027286360467
chembl237_ki,regression,0.6524004869356234
chembl238_ki,regression,0.5755425734053985
chembl239_ec50,regression,0.724322998626658
chembl244_ki,regression,0.6858200992148913
chembl262_ki,regression,0.8004903410231291
chembl264_ki,regression,0.5711611495190454
chembl287_ki,regression,0.5447702399946028
chembl1862_ki,regression,0.6442815573714691
chembl1871_ki,regression,0.8093197724367869
chembl2034_ki,regression,0.6096871933743337
chembl2047_ec50,regression,0.5010296987607776
chembl2147_ki,regression,0.574069446004084
chembl2835_ki,regression,0.6097349108562214
chembl2971_ki,regression,0.5749199384196945
chembl3979_ec50,regression,0.5516899738993135
chembl4005_ki,regression,0.6475610104046066
chembl4203_ki,regression,1.0614319735984803
chembl4616_ec50,regression,0.6124967117954152
chembl4792_ki,regression,0.6030105654239503
