dataset,task,score
chembl204_ki,regression,0.7804815637398
chembl214_ki,regression,0.7052048537358728
chembl218_ec50,regression,0.6718334832878269
chembl219_ki,regression,0.6330748166789701
chembl228_ki,regression,0.6572580057777327
chembl231_ki,regression,0.5507727295620047
chembl233_ki,regression,0.7285899621490268
chembl234_ki,regression,0.5434746764679513
chembl235_ec50,regression,0.6649795412566936
chembl236_ki,regression,0.6582279651303606
chembl237_ec50,regression,0.7050497371176534
chembl237_ki,regression,0.6719320628575316
chembl238_ki,regression,0.5721388886826263
chembl239_ec50,regression,0.703184976041723
chembl244_ki,regression,0.6505704340040779
chembl262_ki,regression,0.6831533024238047
chembl264_ki,regression,0.5424929034496276
chembl287_ki,regression,0.5265939237000823
chembl1862_ki,regression,0.6237643500410164
chembl1871_ki,regression,0.7994523172924657
chembl2034_ki,regression,0.6113651780121934
chembl2047_ec50,regression,0.4972723019135654
chembl2147_ki,regression,0.5508629405198117
chembl2835_ki,regression,0.5998285258006781
chembl2971_ki,regression,0.7003116997228152
chembl3979_ec50,regression,0.5407146683747983
chembl4005_ki,regression,0.6211071403039079
chembl4203_ki,regression,1.0534794414660005
chembl4616_ec50,regression,0.5695071620557349
chembl4792_ki,regression,0.6035851546577505
