dataset,task,score
b3db_classification,classification,0.9393705755617112
b3db_regression,regression,0.47773972346163934
bioavailability_ma,classification,0.7096774193548386
caco2_wang,regression,0.26987279115772206
clearance_microsome_az,regression,23.565233187938475
cyp1a2_veith,classification,0.9322686863074416
cyp2c19_veith,classification,0.8815253344306963
cyp2c9_substrate_carbonmangels,classification,0.5279435702658708
cyp2c9_veith,classification,0.8843974703283375
cyp2d6_substrate_carbonmangels,classification,0.7925935288169869
cyp2d6_veith,classification,0.873804247680362
cyp3a4_substrate_carbonmangels,classification,0.6502034358047016
cyp3a4_veith,classification,0.875142635979634
half_life_obach,regression,8.558723813242011
hia_hou,classification,0.9695473251028806
hlm,classification,0.796317726223496
pampa_ncats,classification,0.7227401493690444
pgp_broccatelli,classification,0.9239536123700346
ppbr_az,regression,7.35068306218234
rlm,classification,0.8088586828386556
solubility_aqsoldb,regression,0.7933390780304339
vdss_lombardo,regression,1.8410875062819076
sarscov2_3clpro_diamond,classification,0.7514592933947772
sarscov2_vitro_touret,classification,0.5409252669039146
ames,classification,0.8470295090955374
herg,classification,0.834020618556701
herg_karim,classification,0.865924218541373
ld50_zhu,regression,0.6523920982865151
