dataset,task,score
chembl204_ki,regression,0.7909833423495823
chembl214_ki,regression,0.7050501236178746
chembl218_ec50,regression,0.6475748285113874
chembl219_ki,regression,0.6695823048962876
chembl228_ki,regression,0.6417449738741667
chembl231_ki,regression,0.5654902009443457
chembl233_ki,regression,0.7235956908040168
chembl234_ki,regression,0.5851475977708954
chembl235_ec50,regression,0.667546376320808
chembl236_ki,regression,0.6989415567274818
chembl237_ec50,regression,0.6859295636730606
chembl237_ki,regression,0.6719278361371965
chembl238_ki,regression,0.5790161424819982
chembl239_ec50,regression,0.7497416735237901
chembl244_ki,regression,0.7047783301286302
chembl262_ki,regression,0.7254802454155584
chembl264_ki,regression,0.5751477316377719
chembl287_ki,regression,0.5310567049728719
chembl1862_ki,regression,0.6903488140738775
chembl1871_ki,regression,0.7545010947143767
chembl2034_ki,regression,0.5843863679259966
chembl2047_ec50,regression,0.5556058315455402
chembl2147_ki,regression,0.5903252877222467
chembl2835_ki,regression,0.6585570727487335
chembl2971_ki,regression,0.5566470650994644
chembl3979_ec50,regression,0.5491174508565759
chembl4005_ki,regression,0.6468511511178986
chembl4203_ki,regression,1.0541854128319597
chembl4616_ec50,regression,0.6595004641838891
chembl4792_ki,regression,0.6064992926677639
