dataset,task,score
chembl204_ki,regression,0.7712085358324519
chembl214_ki,regression,0.7135665078309961
chembl218_ec50,regression,0.6283945315596506
chembl219_ki,regression,0.6712422643308532
chembl228_ki,regression,0.6477894250463849
chembl231_ki,regression,0.5603516766123741
chembl233_ki,regression,0.7161872348739995
chembl234_ki,regression,0.5806341581175702
chembl235_ec50,regression,0.6679096788442028
chembl236_ki,regression,0.6668621802388612
chembl237_ec50,regression,0.675928561985446
chembl237_ki,regression,0.6540786776454264
chembl238_ki,regression,0.5712586431079987
chembl239_ec50,regression,0.7415642355228589
chembl244_ki,regression,0.6776841282085928
chembl262_ki,regression,0.7626828308319866
chembl264_ki,regression,0.5642405393579392
chembl287_ki,regression,0.5368240864450805
chembl1862_ki,regression,0.6670808737204472
chembl1871_ki,regression,0.7884461580698358
chembl2034_ki,regression,0.5983534040412146
chembl2047_ec50,regression,0.4932892952530566
chembl2147_ki,regression,0.5910653428568422
chembl2835_ki,regression,0.6185420187969618
chembl2971_ki,regression,0.5964508116337341
chembl3979_ec50,regression,0.5539317563642695
chembl4005_ki,regression,0.6484239399650159
chembl4203_ki,regression,1.073333669768758
chembl4616_ec50,regression,0.6151932743697834
chembl4792_ki,regression,0.6195065200571904
