dataset,task,score
b3db_classification,classification,0.9420544783010157
b3db_regression,regression,0.46227531265046473
bioavailability_ma,classification,0.7080146325241103
caco2_wang,regression,0.25619345136167354
clearance_microsome_az,regression,23.00935544838376
cyp1a2_veith,classification,0.9316568589071714
cyp2c19_veith,classification,0.8830067743454012
cyp2c9_substrate_carbonmangels,classification,0.5284861638632665
cyp2c9_veith,classification,0.8838296330715978
cyp2d6_substrate_carbonmangels,classification,0.7852628918099089
cyp2d6_veith,classification,0.8720949590980581
cyp3a4_substrate_carbonmangels,classification,0.6355108499095841
cyp3a4_veith,classification,0.8775626096879023
half_life_obach,regression,8.457817869269268
hia_hou,classification,0.9666666666666668
hlm,classification,0.8002210343919718
pampa_ncats,classification,0.7393767705382437
pgp_broccatelli,classification,0.9264862703279128
ppbr_az,regression,7.3059593190048275
rlm,classification,0.812892947895109
solubility_aqsoldb,regression,0.7910506482823747
vdss_lombardo,regression,1.8966529897951432
sarscov2_3clpro_diamond,classification,0.6933947772657448
sarscov2_vitro_touret,classification,0.5643709441071803
ames,classification,0.8489063815622002
herg,classification,0.8257731958762886
herg_karim,classification,0.8667211993579924
ld50_zhu,regression,0.6550654055669383
