dataset,task,score
chembl204_ki,regression,0.7976776490826771
chembl214_ki,regression,0.712256312158196
chembl218_ec50,regression,0.6338279689180407
chembl219_ki,regression,0.6714137811774648
chembl228_ki,regression,0.6328430386540456
chembl231_ki,regression,0.5448625517019209
chembl233_ki,regression,0.7054256520553662
chembl234_ki,regression,0.565654309754129
chembl235_ec50,regression,0.6705227276307177
chembl236_ki,regression,0.670882385810735
chembl237_ec50,regression,0.6895271518194951
chembl237_ki,regression,0.6574782160923894
chembl238_ki,regression,0.5919448950894044
chembl239_ec50,regression,0.7179587426166738
chembl244_ki,regression,0.7181126201861687
chembl262_ki,regression,0.7449606695792033
chembl264_ki,regression,0.5874751943238821
chembl287_ki,regression,0.5737398603029799
chembl1862_ki,regression,0.6443203864739977
chembl1871_ki,regression,0.7764206507740297
chembl2034_ki,regression,0.5882399243851182
chembl2047_ec50,regression,0.5144026013462869
chembl2147_ki,regression,0.5827026145328384
chembl2835_ki,regression,0.6108395842195475
chembl2971_ki,regression,0.5521509938446043
chembl3979_ec50,regression,0.5158014993751028
chembl4005_ki,regression,0.6536964070112725
chembl4203_ki,regression,1.0383845422399969
chembl4616_ec50,regression,0.6022295410479224
chembl4792_ki,regression,0.5983815780531914
