dataset,task,score
chembl204_ki,regression,0.7852054164020013
chembl214_ki,regression,0.7470871061033975
chembl218_ec50,regression,0.6403708958486987
chembl219_ki,regression,0.6622602378345143
chembl228_ki,regression,0.6360485246541714
chembl231_ki,regression,0.5476743944441357
chembl233_ki,regression,0.7268998550056716
chembl234_ki,regression,0.567372424236915
chembl235_ec50,regression,0.6590457959718722
chembl236_ki,regression,0.6564772760821775
chembl237_ec50,regression,0.685221066890946
chembl237_ki,regression,0.6578264237450976
chembl238_ki,regression,0.5614501905890993
chembl239_ec50,regression,0.7228560925545913
chembl244_ki,regression,0.7017701098999999
chembl262_ki,regression,0.7504092978880927
chembl264_ki,regression,0.5903151247312535
chembl287_ki,regression,0.5364442892746702
chembl1862_ki,regression,0.6443203864739977
chembl1871_ki,regression,0.7472596640955733
chembl2034_ki,regression,0.5957262789069244
chembl2047_ec50,regression,0.5256036129471702
chembl2147_ki,regression,0.6148605780427316
chembl2835_ki,regression,0.6108395842195475
chembl2971_ki,regression,0.5502684484597851
chembl3979_ec50,regression,0.5339604358190039
chembl4005_ki,regression,0.644569611475714
chembl4203_ki,regression,1.0346211551873914
chembl4616_ec50,regression,0.6095205921573513
chembl4792_ki,regression,0.5954992706504365
