dataset,task,score
chembl204_ki,regression,0.7852993346021641
chembl214_ki,regression,0.687931847717265
chembl218_ec50,regression,0.658387314247387
chembl219_ki,regression,0.6426157083170918
chembl228_ki,regression,0.6706618470545983
chembl231_ki,regression,0.5715841000948297
chembl233_ki,regression,0.7281499665429884
chembl234_ki,regression,0.5292658267817767
chembl235_ec50,regression,0.6509364305496346
chembl236_ki,regression,0.6689242178288304
chembl237_ec50,regression,0.6828040831348996
chembl237_ki,regression,0.6758632748614278
chembl238_ki,regression,0.5659250991755505
chembl239_ec50,regression,0.6973234052337477
chembl244_ki,regression,0.6655178053519297
chembl262_ki,regression,0.6406045583753238
chembl264_ki,regression,0.5472684801975832
chembl287_ki,regression,0.5207692476567956
chembl1862_ki,regression,0.5907244935536327
chembl1871_ki,regression,0.8256160500814149
chembl2034_ki,regression,0.645935247183461
chembl2047_ec50,regression,0.5122768879992506
chembl2147_ki,regression,0.5803990559881822
chembl2835_ki,regression,0.6455456827543903
chembl2971_ki,regression,0.6332012027287676
chembl3979_ec50,regression,0.5327420853493124
chembl4005_ki,regression,0.6314574556430429
chembl4203_ki,regression,1.0103335974620935
chembl4616_ec50,regression,0.5592671738389733
chembl4792_ki,regression,0.6213262205784617
