dataset,task,score
chembl204_ki,regression,0.7748809369169358
chembl214_ki,regression,0.689833734861763
chembl218_ec50,regression,0.6610171376385338
chembl219_ki,regression,0.6585075770732213
chembl228_ki,regression,0.6543223313315895
chembl231_ki,regression,0.5538781860590104
chembl233_ki,regression,0.7071570731328145
chembl234_ki,regression,0.5285396123568005
chembl235_ec50,regression,0.6636995478695015
chembl236_ki,regression,0.6619360878323328
chembl237_ec50,regression,0.6914467076352052
chembl237_ki,regression,0.6631872665091769
chembl238_ki,regression,0.5594011962338092
chembl239_ec50,regression,0.7053760467028917
chembl244_ki,regression,0.6681764199009042
chembl262_ki,regression,0.716083645164231
chembl264_ki,regression,0.5436324673639762
chembl287_ki,regression,0.5558955061208489
chembl1862_ki,regression,0.6257786628168425
chembl1871_ki,regression,0.8168487494061972
chembl2034_ki,regression,0.5999431546010636
chembl2047_ec50,regression,0.4830088616276653
chembl2147_ki,regression,0.5671955795910436
chembl2835_ki,regression,0.6717582131530311
chembl2971_ki,regression,0.6505602476595921
chembl3979_ec50,regression,0.5572701609568184
chembl4005_ki,regression,0.6408929915701799
chembl4203_ki,regression,0.9882486676062014
chembl4616_ec50,regression,0.5668484474826202
chembl4792_ki,regression,0.6117251210305605
