dataset,task,score
chembl204_ki,regression,0.7670477172200948
chembl214_ki,regression,0.6719552414963181
chembl218_ec50,regression,0.7817062243322603
chembl219_ki,regression,0.652594706060256
chembl228_ki,regression,0.6947702102082822
chembl231_ki,regression,0.6352718166410297
chembl233_ki,regression,0.7118219737531363
chembl234_ki,regression,0.7967089757241708
chembl235_ec50,regression,0.9955317135793895
chembl236_ki,regression,0.6565577850782975
chembl237_ec50,regression,0.8645349163242031
chembl237_ki,regression,0.6628686271644435
chembl238_ki,regression,0.8397101129343354
chembl239_ec50,regression,0.7359009535058596
chembl244_ki,regression,1.0537620191319597
chembl262_ki,regression,0.701393744254359
chembl264_ki,regression,0.5498070744202147
chembl287_ki,regression,0.713795891143709
chembl1862_ki,regression,0.6120455961980937
chembl1871_ki,regression,0.8447682884412552
chembl2034_ki,regression,0.7498568266264066
chembl2047_ec50,regression,0.7178085177925986
chembl2147_ki,regression,0.6887665986708714
chembl2835_ki,regression,0.7444587584882049
chembl2971_ki,regression,0.6713314809337648
chembl3979_ec50,regression,0.5736826706131378
chembl4005_ki,regression,0.70484322492702
chembl4203_ki,regression,0.8755456803578705
chembl4616_ec50,regression,0.5638823357653296
chembl4792_ki,regression,0.6555161196855881
