dataset,task,score
chembl204_ki,regression,0.7670477172200948
chembl214_ki,regression,0.6719552414963181
chembl218_ec50,regression,0.667513040704451
chembl219_ki,regression,0.652594706060256
chembl228_ki,regression,0.6804697787675326
chembl231_ki,regression,0.5672399509229146
chembl233_ki,regression,0.7118219737531363
chembl234_ki,regression,0.532559687629324
chembl235_ec50,regression,0.6589000913416021
chembl236_ki,regression,0.6565577850782975
chembl237_ec50,regression,0.6790495167439644
chembl237_ki,regression,0.6628686271644435
chembl238_ki,regression,0.585145905290477
chembl239_ec50,regression,0.6994798511024536
chembl244_ki,regression,0.6674410790228793
chembl262_ki,regression,0.7138451214888922
chembl264_ki,regression,0.5498070744202147
chembl287_ki,regression,0.5542413102193389
chembl1862_ki,regression,0.6120455961980937
chembl1871_ki,regression,0.8447682884412552
chembl2034_ki,regression,0.6320477830519564
chembl2047_ec50,regression,0.5157064862217817
chembl2147_ki,regression,0.5724150285811729
chembl2835_ki,regression,0.6415211441119796
chembl2971_ki,regression,0.6591185069776685
chembl3979_ec50,regression,0.5718601892097399
chembl4005_ki,regression,0.6461055502758745
chembl4203_ki,regression,1.0902547992368175
chembl4616_ec50,regression,0.5638823357653296
chembl4792_ki,regression,0.6030792251380912
