dataset,task,score
chembl204_ki,regression,0.7974561600763234
chembl214_ki,regression,0.7224969361065627
chembl218_ec50,regression,0.6273701067352521
chembl219_ki,regression,0.6582367861131833
chembl228_ki,regression,0.6345443858911605
chembl231_ki,regression,0.5391410466521519
chembl233_ki,regression,0.7191369643095523
chembl234_ki,regression,0.5616957562567058
chembl235_ec50,regression,0.6772073055064396
chembl236_ki,regression,0.6648132969216853
chembl237_ec50,regression,0.6558892012969393
chembl237_ki,regression,0.6544641743160272
chembl238_ki,regression,0.5720117651229523
chembl239_ec50,regression,0.7193731974849609
chembl244_ki,regression,0.7150416014309946
chembl262_ki,regression,0.7936292195264395
chembl264_ki,regression,0.5705461197566404
chembl287_ki,regression,0.5562794587432867
chembl1862_ki,regression,0.6717757434041689
chembl1871_ki,regression,0.7812449501528785
chembl2034_ki,regression,0.6030359988044636
chembl2047_ec50,regression,0.523613933230397
chembl2147_ki,regression,0.5605690388866171
chembl2835_ki,regression,0.5620898142264716
chembl2971_ki,regression,0.6300087441610045
chembl3979_ec50,regression,0.545380721713088
chembl4005_ki,regression,0.6550870814356101
chembl4203_ki,regression,1.0308572868608619
chembl4616_ec50,regression,0.6048769782262172
chembl4792_ki,regression,0.6254321250857636
