dataset,task,score
chembl204_ki,regression,0.789823570184032
chembl214_ki,regression,0.7076409216858405
chembl218_ec50,regression,0.610422108568629
chembl219_ki,regression,0.6523461948551833
chembl228_ki,regression,0.6340056761847128
chembl231_ki,regression,0.5346480404323929
chembl233_ki,regression,0.7212602251378641
chembl234_ki,regression,0.5805817227112119
chembl235_ec50,regression,0.6728341881959607
chembl236_ki,regression,0.6682441903161166
chembl237_ec50,regression,0.6545299870156851
chembl237_ki,regression,0.6775030390050988
chembl238_ki,regression,0.5796371608325186
chembl239_ec50,regression,0.7313133155703861
chembl244_ki,regression,0.7057485394025326
chembl262_ki,regression,0.7746552739439924
chembl264_ki,regression,0.5779066818893803
chembl287_ki,regression,0.541495232812652
chembl1862_ki,regression,0.6359289768262226
chembl1871_ki,regression,0.8074139325621701
chembl2034_ki,regression,0.6226794519601614
chembl2047_ec50,regression,0.5171047149395587
chembl2147_ki,regression,0.5756910710393577
chembl2835_ki,regression,0.620367919156694
chembl2971_ki,regression,0.5973821559733787
chembl3979_ec50,regression,0.5675011661499793
chembl4005_ki,regression,0.6564469746460737
chembl4203_ki,regression,1.0601261371513218
chembl4616_ec50,regression,0.5867372631128868
chembl4792_ki,regression,0.611858373729846
