dataset,task,score
b3db_classification,classification,0.9285672514619883
b3db_regression,regression,0.48200425528921864
bioavailability_ma,classification,0.7216494845360825
caco2_wang,regression,0.29915902099908337
clearance_microsome_az,regression,22.365892239750266
cyp1a2_veith,classification,0.9231102173281642
cyp2c19_veith,classification,0.8724184693658052
cyp2c9_substrate_carbonmangels,classification,0.49186109603906675
cyp2c9_veith,classification,0.8648976554070552
cyp2d6_substrate_carbonmangels,classification,0.804221435793731
cyp2d6_veith,classification,0.8603925883261692
cyp3a4_substrate_carbonmangels,classification,0.6346066907775768
cyp3a4_veith,classification,0.8614812788191409
half_life_obach,regression,8.231003354962033
hia_hou,classification,0.9563786008230453
hlm,classification,0.7851634491161685
pampa_ncats,classification,0.6970898789595673
pgp_broccatelli,classification,0.9024260197280726
ppbr_az,regression,7.547100097946748
rlm,classification,0.7951644486941031
solubility_aqsoldb,regression,0.8566911795265185
vdss_lombardo,regression,1.7905881696337391
sarscov2_3clpro_diamond,classification,0.6519201228878648
sarscov2_vitro_touret,classification,0.5413439397111157
ames,classification,0.8198417826861697
herg,classification,0.839322533136966
herg_karim,classification,0.8531252539806192
ld50_zhu,regression,0.6811715800079184
