dataset,task,score
b3db_classification,classification,0.9369205909510618
b3db_regression,regression,0.46097921366393974
bioavailability_ma,classification,0.7143332224808779
caco2_wang,regression,0.28206147809742504
clearance_microsome_az,regression,23.586835217605355
cyp1a2_veith,classification,0.9310039904532195
cyp2c19_veith,classification,0.8819730086136752
cyp2c9_substrate_carbonmangels,classification,0.5298426478567553
cyp2c9_veith,classification,0.8818016428689563
cyp2d6_substrate_carbonmangels,classification,0.8006825075834176
cyp2d6_veith,classification,0.8630242516304423
cyp3a4_substrate_carbonmangels,classification,0.6572106690777578
cyp3a4_veith,classification,0.8714511167312838
half_life_obach,regression,8.228802544175212
hia_hou,classification,0.9748971193415638
hlm,classification,0.7992980168133086
pampa_ncats,classification,0.725521503991759
pgp_broccatelli,classification,0.9266195681151693
ppbr_az,regression,7.317107220432124
rlm,classification,0.8023259240824667
solubility_aqsoldb,regression,0.7930575776600112
vdss_lombardo,regression,1.8742520507932625
sarscov2_3clpro_diamond,classification,0.7072196620583717
sarscov2_vitro_touret,classification,0.6156583629893239
ames,classification,0.8469462883549708
herg,classification,0.8564064801178204
herg_karim,classification,0.8643860980891811
ld50_zhu,regression,0.6517532764760477
