dataset,task,score
b3db_classification,classification,0.9406663588796552
b3db_regression,regression,0.4730676445010842
bioavailability_ma,classification,0.7033588293980712
caco2_wang,regression,0.2882566215356458
clearance_microsome_az,regression,23.482199734682858
cyp1a2_veith,classification,0.9315274217378677
cyp2c19_veith,classification,0.8810614492048795
cyp2c9_substrate_carbonmangels,classification,0.5822029300054259
cyp2c9_veith,classification,0.8803273136808614
cyp2d6_substrate_carbonmangels,classification,0.8085187057633973
cyp2d6_veith,classification,0.8694808746842263
cyp3a4_substrate_carbonmangels,classification,0.6526898734177216
cyp3a4_veith,classification,0.8697598377119521
half_life_obach,regression,8.020307214916778
hia_hou,classification,0.9810699588477366
hlm,classification,0.793247123797628
pampa_ncats,classification,0.7344836466649499
pgp_broccatelli,classification,0.9266195681151693
ppbr_az,regression,7.208597302225995
rlm,classification,0.8028564037408639
solubility_aqsoldb,regression,0.7817311466735626
vdss_lombardo,regression,1.8408456299841687
sarscov2_3clpro_diamond,classification,0.7072196620583717
sarscov2_vitro_touret,classification,0.5897006489428511
ames,classification,0.846923769801641
herg,classification,0.8705449189985273
herg_karim,classification,0.8685672756304109
ld50_zhu,regression,0.6388796496781617
