dataset,task,score
b3db_classification,classification,0.9418513388734996
b3db_regression,regression,0.47940761302098767
bioavailability_ma,classification,0.6957100099767209
caco2_wang,regression,0.31278685851230137
clearance_microsome_az,regression,22.836344416069977
cyp1a2_veith,classification,0.9335037063228477
cyp2c19_veith,classification,0.8849979268570216
cyp2c9_substrate_carbonmangels,classification,0.5607704829083017
cyp2c9_veith,classification,0.8832531325557402
cyp2d6_substrate_carbonmangels,classification,0.7908240647118301
cyp2d6_veith,classification,0.8670539537509733
cyp3a4_substrate_carbonmangels,classification,0.6560804701627486
cyp3a4_veith,classification,0.8751810058922841
half_life_obach,regression,8.529608171297571
hia_hou,classification,0.9637860082304527
hlm,classification,0.7997587602480973
pampa_ncats,classification,0.7397888230749422
pgp_broccatelli,classification,0.9252199413489737
ppbr_az,regression,7.379663395393177
rlm,classification,0.8158957247269013
solubility_aqsoldb,regression,0.7898608348071628
vdss_lombardo,regression,1.8546555734116075
sarscov2_3clpro_diamond,classification,0.7059907834101382
sarscov2_vitro_touret,classification,0.5333891563742935
ames,classification,0.8354677005619847
herg,classification,0.8240058910162004
herg_karim,classification,0.8618538940377652
ld50_zhu,regression,0.6523296319342504
