dataset,task,score
b3db_classification,classification,0.9397245306248078
b3db_regression,regression,0.4695526534033636
bioavailability_ma,classification,0.7033588293980713
caco2_wang,regression,0.29148874245986983
clearance_microsome_az,regression,24.74273220877783
cyp1a2_veith,classification,0.9304875045776559
cyp2c19_veith,classification,0.8819094114456197
cyp2c9_substrate_carbonmangels,classification,0.564026044492675
cyp2c9_veith,classification,0.8830310380947131
cyp2d6_substrate_carbonmangels,classification,0.7973963599595552
cyp2d6_veith,classification,0.8732355188719729
cyp3a4_substrate_carbonmangels,classification,0.6520117540687161
cyp3a4_veith,classification,0.8774728574574429
half_life_obach,regression,8.55086882490664
hia_hou,classification,0.9699588477366256
hlm,classification,0.8004812549365368
pampa_ncats,classification,0.7545712078289982
pgp_broccatelli,classification,0.9189549453479072
ppbr_az,regression,7.441217798170609
rlm,classification,0.8070151022974352
solubility_aqsoldb,regression,0.7870532057820181
vdss_lombardo,regression,1.8930090662598889
sarscov2_3clpro_diamond,classification,0.7078341013824885
sarscov2_vitro_touret,classification,0.5863512664852417
ames,classification,0.8452955804891421
herg,classification,0.832842415316642
herg_karim,classification,0.8696669598789407
ld50_zhu,regression,0.6403277320340107
