dataset,task,score
b3db_classification,classification,0.9395337026777469
b3db_regression,regression,0.46393235443466696
bioavailability_ma,classification,0.7213169271699368
caco2_wang,regression,0.2858257078003533
clearance_microsome_az,regression,23.154331696642426
cyp1a2_veith,classification,0.9318178661177688
cyp2c19_veith,classification,0.8827149755743229
cyp2c9_substrate_carbonmangels,classification,0.520618556701031
cyp2c9_veith,classification,0.8830341883707561
cyp2d6_substrate_carbonmangels,classification,0.7908240647118301
cyp2d6_veith,classification,0.8746459663167777
cyp3a4_substrate_carbonmangels,classification,0.6492992766726944
cyp3a4_veith,classification,0.8769029808417358
half_life_obach,regression,8.026758743603304
hia_hou,classification,0.9707818930041152
hlm,classification,0.804066175615192
pampa_ncats,classification,0.7409734741179501
pgp_broccatelli,classification,0.9206878165822447
ppbr_az,regression,7.675650271613358
rlm,classification,0.8012322191077462
solubility_aqsoldb,regression,0.8094167260077003
vdss_lombardo,regression,1.825356722069423
sarscov2_3clpro_diamond,classification,0.7167434715821812
sarscov2_vitro_touret,classification,0.5266903914590747
ames,classification,0.8437369049717051
herg,classification,0.8175257731958763
herg_karim,classification,0.8666816682248752
ld50_zhu,regression,0.6469879952491954
