dataset,task,score
b3db_classification,classification,0.9406879039704524
b3db_regression,regression,0.4686725759623762
bioavailability_ma,classification,0.6957100099767209
caco2_wang,regression,0.3037320208757731
clearance_microsome_az,regression,24.317059209369347
cyp1a2_veith,classification,0.9316688555228632
cyp2c19_veith,classification,0.881142504419068
cyp2c9_substrate_carbonmangels,classification,0.5463917525773196
cyp2c9_veith,classification,0.8834122214959086
cyp2d6_substrate_carbonmangels,classification,0.7946157735085945
cyp2d6_veith,classification,0.8752529550631858
cyp3a4_substrate_carbonmangels,classification,0.6522377938517179
cyp3a4_veith,classification,0.8708542143510146
half_life_obach,regression,8.435813824913593
hia_hou,classification,0.9679012345679012
hlm,classification,0.7949798864826142
pampa_ncats,classification,0.736234869945918
pgp_broccatelli,classification,0.9240869101572915
ppbr_az,regression,7.438968803489545
rlm,classification,0.8040254237288136
solubility_aqsoldb,regression,0.7939086825632562
vdss_lombardo,regression,1.9371791011998916
sarscov2_3clpro_diamond,classification,0.7185867895545314
sarscov2_vitro_touret,classification,0.5765124555160143
ames,classification,0.8421713759815151
herg,classification,0.8298969072164947
herg_karim,classification,0.8686477201040967
ld50_zhu,regression,0.6227407852081374
