dataset,task,score
chembl204_ki,regression,0.7939097462168384
chembl214_ki,regression,0.7139680134375809
chembl218_ec50,regression,0.6434602986307236
chembl219_ki,regression,0.6672638737738881
chembl228_ki,regression,0.6305484501987909
chembl231_ki,regression,0.5670197373953837
chembl233_ki,regression,0.7160900745236416
chembl234_ki,regression,0.5686485832352248
chembl235_ec50,regression,0.6684418817423735
chembl236_ki,regression,0.6676735921616614
chembl237_ec50,regression,0.690061856890019
chembl237_ki,regression,0.6595461203261347
chembl238_ki,regression,0.5655024234365118
chembl239_ec50,regression,0.7517232964735896
chembl244_ki,regression,0.7000368551494337
chembl262_ki,regression,0.7477842848051464
chembl264_ki,regression,0.5792578612445357
chembl287_ki,regression,0.5393504325030365
chembl1862_ki,regression,0.6580191210144792
chembl1871_ki,regression,0.788225312053044
chembl2034_ki,regression,0.6182876667962875
chembl2047_ec50,regression,0.4931555234755203
chembl2147_ki,regression,0.5824742239270269
chembl2835_ki,regression,0.6438541047154878
chembl2971_ki,regression,0.5677253150341531
chembl3979_ec50,regression,0.5537710689231369
chembl4005_ki,regression,0.65335217490729
chembl4203_ki,regression,1.073333669768758
chembl4616_ec50,regression,0.6133422765917518
chembl4792_ki,regression,0.6031526866569759
