dataset,task,score
chembl204_ki,regression,0.8171298370170823
chembl214_ki,regression,0.7336218571562825
chembl218_ec50,regression,0.6418557192162593
chembl219_ki,regression,0.6876933773264692
chembl228_ki,regression,0.6578090133678368
chembl231_ki,regression,0.567521043622884
chembl233_ki,regression,0.7097861681601864
chembl234_ki,regression,0.5682326268973958
chembl235_ec50,regression,0.6694019422983905
chembl236_ki,regression,0.6481224878158651
chembl237_ec50,regression,0.6962162146519076
chembl237_ki,regression,0.6515808566134429
chembl238_ki,regression,0.5895434509051217
chembl239_ec50,regression,0.7317160649813631
chembl244_ki,regression,0.6946297432453772
chembl262_ki,regression,0.7724716563872784
chembl264_ki,regression,0.5854794211531082
chembl287_ki,regression,0.562413010313632
chembl1862_ki,regression,0.6226583237957832
chembl1871_ki,regression,0.7851672562415135
chembl2034_ki,regression,0.6177394081918327
chembl2047_ec50,regression,0.5350982150358475
chembl2147_ki,regression,0.5965682965593708
chembl2835_ki,regression,0.5577610070202922
chembl2971_ki,regression,0.5712762978774204
chembl3979_ec50,regression,0.5600040148084889
chembl4005_ki,regression,0.637908119864422
chembl4203_ki,regression,1.0852574336833454
chembl4616_ec50,regression,0.6154291678856506
chembl4792_ki,regression,0.6058511996889018
