dataset,task,score
b3db_classification,classification,0.9412111418898123
b3db_regression,regression,0.48794322921312233
bioavailability_ma,classification,0.728965746591287
caco2_wang,regression,0.3035632724646706
clearance_microsome_az,regression,25.81761280885749
cyp1a2_veith,classification,0.9304944499867407
cyp2c19_veith,classification,0.875322116538693
cyp2c9_substrate_carbonmangels,classification,0.6349701573521433
cyp2c9_veith,classification,0.8728406826648185
cyp2d6_substrate_carbonmangels,classification,0.7885490394337715
cyp2d6_veith,classification,0.854429208257115
cyp3a4_substrate_carbonmangels,classification,0.5851039783001809
cyp3a4_veith,classification,0.8616818033191642
half_life_obach,regression,8.36005481321457
hia_hou,classification,0.9703703703703703
hlm,classification,0.7878590278160456
pampa_ncats,classification,0.6790368271954673
pgp_broccatelli,classification,0.9094908024526793
ppbr_az,regression,7.621809235398685
rlm,classification,0.7885383648128258
solubility_aqsoldb,regression,0.8154393327156396
vdss_lombardo,regression,1.8779225454601072
sarscov2_3clpro_diamond,classification,0.6505376344086021
sarscov2_vitro_touret,classification,0.5333891563742935
ames,classification,0.8236836436977423
herg,classification,0.8172312223858614
herg_karim,classification,0.8555250425581674
ld50_zhu,regression,0.6583037819877072
