dataset,task,score
b3db_classification,classification,0.9363973530317021
b3db_regression,regression,0.4770247035389611
bioavailability_ma,classification,0.6957100099767209
caco2_wang,regression,0.27806061410717575
clearance_microsome_az,regression,22.836344416069977
cyp1a2_veith,classification,0.9321960752124664
cyp2c19_veith,classification,0.8800862926280282
cyp2c9_substrate_carbonmangels,classification,0.5607704829083017
cyp2c9_veith,classification,0.8787671394705963
cyp2d6_substrate_carbonmangels,classification,0.7908240647118301
cyp2d6_veith,classification,0.871629635527558
cyp3a4_substrate_carbonmangels,classification,0.6560804701627486
cyp3a4_veith,classification,0.8709990190648419
half_life_obach,regression,8.529608171297571
hia_hou,classification,0.9716049382716049
hlm,classification,0.7965840696044035
pampa_ncats,classification,0.7397888230749422
pgp_broccatelli,classification,0.9228205811783524
ppbr_az,regression,7.376341573514641
rlm,classification,0.8158957247269013
solubility_aqsoldb,regression,0.7809278302280787
vdss_lombardo,regression,1.8294672068638156
sarscov2_3clpro_diamond,classification,0.7059907834101382
sarscov2_vitro_touret,classification,0.5333891563742935
ames,classification,0.8494585756525486
herg,classification,0.8128129602356405
herg_karim,classification,0.8689360485785103
ld50_zhu,regression,0.6576923706008624
