dataset,task,score
b3db_classification,classification,0.9441720529393659
b3db_regression,regression,0.4656067804843074
bioavailability_ma,classification,0.6787495843032922
caco2_wang,regression,0.28793976715269426
clearance_microsome_az,regression,23.37518523222074
cyp1a2_veith,classification,0.9318645897788833
cyp2c19_veith,classification,0.879936028730956
cyp2c9_substrate_carbonmangels,classification,0.537438958220293
cyp2c9_veith,classification,0.8779425547163571
cyp2d6_substrate_carbonmangels,classification,0.8049797775530839
cyp2d6_veith,classification,0.8653105414401661
cyp3a4_substrate_carbonmangels,classification,0.6106464737793852
cyp3a4_veith,classification,0.8730112707447767
half_life_obach,regression,8.583038155575826
hia_hou,classification,0.9691358024691358
hlm,classification,0.7943875020664573
pampa_ncats,classification,0.7431367499356168
pgp_broccatelli,classification,0.9396161023727005
ppbr_az,regression,7.135888503183288
rlm,classification,0.8123968511775339
solubility_aqsoldb,regression,0.7904208821206782
vdss_lombardo,regression,1.883575148954914
sarscov2_3clpro_diamond,classification,0.6712749615975423
sarscov2_vitro_touret,classification,0.5005233410090015
ames,classification,0.8294963676594411
herg,classification,0.8248895434462444
herg_karim,classification,0.8579585569975358
ld50_zhu,regression,0.6514250708350846
