dataset,task,score
chembl204_ki,regression,0.8068332297665803
chembl214_ki,regression,0.7143547750479802
chembl218_ec50,regression,0.6256740386019051
chembl219_ki,regression,0.6495096639036522
chembl228_ki,regression,0.6288938428469854
chembl231_ki,regression,0.5397427644723601
chembl233_ki,regression,0.722956024052088
chembl234_ki,regression,0.5612138677622651
chembl235_ec50,regression,0.6653205915212951
chembl236_ki,regression,0.6683105354466751
chembl237_ec50,regression,0.677766045587604
chembl237_ki,regression,0.6493408241040552
chembl238_ki,regression,0.5794670821039514
chembl239_ec50,regression,0.7312314003255506
chembl244_ki,regression,0.6917455369313369
chembl262_ki,regression,0.7685242912854453
chembl264_ki,regression,0.5847169405098419
chembl287_ki,regression,0.5306659251339461
chembl1862_ki,regression,0.6423440770737479
chembl1871_ki,regression,0.798708959874067
chembl2034_ki,regression,0.6235485684285327
chembl2047_ec50,regression,0.5201151752490054
chembl2147_ki,regression,0.5858201717978219
chembl2835_ki,regression,0.6015016955778913
chembl2971_ki,regression,0.5715851813548901
chembl3979_ec50,regression,0.5526985686824502
chembl4005_ki,regression,0.6381092508170824
chembl4203_ki,regression,1.1194436147647824
chembl4616_ec50,regression,0.6222833755521915
chembl4792_ki,regression,0.6248996576182557
