dataset,task,score
b3db_classification,classification,0.9399676823638043
b3db_regression,regression,0.4732221577945787
bioavailability_ma,classification,0.7050216162287994
caco2_wang,regression,0.29758560347545715
clearance_microsome_az,regression,23.441897532499105
cyp1a2_veith,classification,0.9296622636982409
cyp2c19_veith,classification,0.8826438963864961
cyp2c9_substrate_carbonmangels,classification,0.5192620727075421
cyp2c9_veith,classification,0.8826679687807644
cyp2d6_substrate_carbonmangels,classification,0.7908240647118301
cyp2d6_veith,classification,0.874028637046581
cyp3a4_substrate_carbonmangels,classification,0.6375452079566003
cyp3a4_veith,classification,0.8740078875194353
half_life_obach,regression,8.622764698498637
hia_hou,classification,0.9666666666666666
hlm,classification,0.8006955542085316
pampa_ncats,classification,0.7397888230749422
pgp_broccatelli,classification,0.9350839776059717
ppbr_az,regression,7.497884861963724
rlm,classification,0.7998470777774868
solubility_aqsoldb,regression,0.7908088764755279
vdss_lombardo,regression,1.8890819203470508
sarscov2_3clpro_diamond,classification,0.6998463901689708
sarscov2_vitro_touret,classification,0.5333891563742935
ames,classification,0.8484344710098104
herg,classification,0.8349042709867452
herg_karim,classification,0.863383444803757
ld50_zhu,regression,0.6416982724903759
